"","detectorid","highwayid","enabledflag","locationtext","detectortype","detectorclass","detectortitle","detectorstatus","lanenumber","stationid","rampid","controllerid","end_date","start_date","milepost","agency_lane","atms_id"
"1649",1981,11,1,"185th Ave NB to EB",8,1,"US26E64.34-ML3",2,3,1083,1083,1083,2015-06-02 15:05:00,2004-01-01 00:00:00,64.34,3,1981
"1650",3337,12,1,"US 26 WB @ Cornelius Pass ML1",8,1,"US 26 WB @ Cornelius Pass ML1",0,1,3159,3159,109,2015-06-02 15:05:00,2004-01-01 00:00:00,62.48,1,3337
"1651",3338,12,1,"US 26 WB @ Cornelius Pass ML2",8,1,"US 26 WB @ Cornelius Pass ML2",0,2,3159,3159,109,2015-06-02 15:05:00,2004-01-01 00:00:00,62.48,2,3338
"1652",1166,2,1,"Wheeler SB",8,1,"I5N302.17-ML1",0,1,1035,1035,1035,2015-06-02 15:05:00,2004-01-01 00:00:00,302.17,1,1166
"1653",1167,2,1,"Wheeler SB",8,1,"I5N302.17-ML2",0,2,1035,1035,1035,2015-06-02 15:05:00,2004-01-01 00:00:00,302.17,2,1167
"1654",1181,1,1,"Going St NB",8,1,"I5N303.88-ML2",0,2,1019,1019,1019,2015-06-02 15:05:00,2004-01-01 00:00:00,303.88,2,1181
"1655",1182,1,1,"Going St NB",8,1,"I5N303.88-ML3",2,3,1019,1019,1019,2015-06-02 15:05:00,2004-01-01 00:00:00,303.88,3,1182
"1656",1188,1,1,"Alberta St NB",8,1,"I5N304.40-ML2",0,2,1020,1020,1020,2015-06-02 15:05:00,2004-01-01 00:00:00,304.4,2,1188
"1657",1189,1,1,"Alberta St NB",8,1,"I5N304.40-ML3",0,3,1020,1020,1020,2015-06-02 15:05:00,2004-01-01 00:00:00,304.4,3,1189
"1658",1196,1,1,"Portland Blvd NB",8,1,"I5N305.12-ML2",0,2,1021,1021,1021,2015-06-02 15:05:00,2004-01-01 00:00:00,305.12,2,1196
"1659",1197,1,1,"Portland Blvd NB",8,1,"I5N305.12-ML3",0,3,1021,1021,1021,2015-06-02 15:05:00,2004-01-01 00:00:00,305.12,3,1197
"1660",1204,1,1,"Denver Ave NB",8,1,"I5N306.51-ML2",0,2,1022,1022,1022,2015-06-02 15:05:00,2004-01-01 00:00:00,306.51,2,1204
"1661",1205,1,1,"Denver Ave NB",8,1,"I5N306.51-ML3",2,3,1022,1022,1022,2015-06-02 15:05:00,2004-01-01 00:00:00,306.51,3,1205
"1662",1212,1,1,"Delta Park NB",8,1,"I5N306.51-ML2",0,2,1023,1023,1023,2015-06-02 15:05:00,2004-01-01 00:00:00,306.53,2,1212
"1663",1213,1,1,"Delta Park NB",8,1,"I5N306.51-ML3",2,3,1023,1023,1023,2015-06-02 15:05:00,2004-01-01 00:00:00,306.53,3,1213
"1664",1220,1,1,"Marine Dr NB",8,1,"I5N307.46-ML1",0,1,1024,1024,1024,2015-06-02 15:05:00,2004-01-01 00:00:00,307.46,1,1220
"1665",1221,1,1,"Marine Dr NB",8,1,"I5N307.46-ML2",2,2,1024,1024,1024,2015-06-02 15:05:00,2004-01-01 00:00:00,307.46,2,1221
"1666",1222,1,1,"Marine Dr NB",8,1,"I5N307.46-ML3",0,3,1024,1024,1024,2015-06-02 15:05:00,2004-01-01 00:00:00,307.46,3,1222
"1667",1276,2,1,"Portland Blvd SB",8,1,"I5S304.85-ML2",0,2,1031,1031,1031,2015-06-02 15:05:00,2004-01-01 00:00:00,304.85,2,1276
"1668",1277,2,1,"Portland Blvd SB",8,1,"I5S304.85-ML3",0,3,1031,1031,1031,2015-06-02 15:05:00,2004-01-01 00:00:00,304.85,3,1277
"1669",1283,2,1,"Alberta St SB",8,1,"I5S304.08-ML1",0,1,1032,1032,1032,2015-06-02 15:05:00,2004-01-01 00:00:00,304.08,1,1283
"1670",1284,2,1,"Alberta St SB",8,1,"I5S304.08-ML2",0,2,1032,1032,1032,2015-06-02 15:05:00,2004-01-01 00:00:00,304.08,2,1284
"1671",1285,2,1,"Alberta St SB",8,1,"I5S304.08-ML3",0,3,1032,1032,1032,2015-06-02 15:05:00,2004-01-01 00:00:00,304.08,3,1285
"1672",1291,2,1,"Going St SB",8,1,"I5S303.90-ML1",0,1,1033,1033,1033,2015-06-02 15:05:00,2004-01-01 00:00:00,303.9,1,1291
"1673",1292,2,1,"Going St SB",8,1,"I5S303.90-ML2",2,2,1033,1033,1033,2015-06-02 15:05:00,2004-01-01 00:00:00,303.9,2,1292
"1674",1293,2,1,"Going St SB",8,1,"I5S303.90-ML3",0,3,1033,1033,1033,2015-06-02 15:05:00,2004-01-01 00:00:00,303.9,3,1293
"1675",1299,2,1,"Greeley Ave SB",8,1,"I5S303.10-ML1",0,1,1034,1034,1034,2015-06-02 15:05:00,2004-01-01 00:00:00,303.1,1,1299
"1676",1300,2,1,"Greeley Ave SB",8,1,"I5S303.10-ML2",0,2,1034,1034,1034,2015-06-02 15:05:00,2004-01-01 00:00:00,303.1,2,1300
"1677",1615,11,1,"Helvetia EB",8,1,"US26E61.25-ML1",2,1,1081,1081,1081,2015-06-02 15:05:00,2004-01-01 00:00:00,61.25,1,1615
