Location,Reading,Timestamp,,
,62,13:22:41,,
,62,13:22:43,,
,62,13:22:49,,
,60,13:22:57,,
,61,13:23:07,,
,62,13:23:09,,
,62,13:23:10,,
,63,13:23:13,,
,62,13:23:15,,
,59,13:23:18,,
,61,13:23:24,,
,63,13:23:28,,
,66,13:23:30,,
,62,13:23:34,,
,64,13:23:39,,
,68,13:23:43,,
,67,13:23:47,,
,71,13:23:57,,
,65,13:23:58,,
,66,13:24:02,,
,66,13:24:04,,
,69,13:24:07,,
,65,13:24:19,,
,64,13:24:22,,
,62,13:24:23,,
,61,13:24:33,,
,62,13:24:37,,
,60,13:24:41,,
,60,13:24:49,,
,59,13:24:52,,
,60,13:24:54,,
,59,13:24:59,,
,68,13:25:01,,
,65,13:25:02,,
,62,13:25:05,,
,61,13:25:11,,
,67,13:25:14,,
,58,13:25:20,,
,61,13:25:32,,
,62,13:25:33,,
,62,13:25:35,,
,63,13:25:37,,
,61,13:25:39,,
,64,13:25:40,,
,63,13:25:43,,
,65,13:25:45,,
,61,13:25:48,,
,64,13:25:49,,
,65,13:25:51,,
,62,13:25:52,,
,60,13:25:54,,
,68,13:25:56,,
,67,13:25:57,,
,60,13:26:04,,
,61,13:26:06,,
,63,13:26:08,,
,62,13:26:10,,
,63,13:26:12,,
,65,13:26:15,,
,66,13:26:16,,
,68,13:26:21,,
,61,13:26:23,,
,59,13:26:26,,
,61,13:26:29,,
,60,13:26:33,,
,60,13:26:35,,
,65,13:26:36,,
,63,13:26:39,,
,70,13:26:48,,
,64,13:27:04,,
,66,13:27:11,,
,65,13:27:15,,
,62,13:27:19,,
,66,13:27:20,,
,64,13:27:27,,
,65,13:27:28,,
,60,13:27:38,,
,60,13:27:40,,
,62,13:27:55,,
,57,13:27:59,,
,64,13:28:01,,
,66,13:28:02,,
,67,13:28:04,,
,65,13:28:05,,
,64,13:28:16,,
,59,13:28:24,,
,62,13:28:31,,
,62,13:28:35,,
,62,13:28:37,,
,59,13:28:39,,
,58,13:28:42,,
,60,13:28:43,,
,59,13:28:54,,
,65,13:29:05,,
,64,13:29:07,,
,64,13:29:08,,
,64,13:29:11,,
,62,13:29:14,,
,70,13:29:18,,
,59,13:29:41,,
,58,13:29:44,,
,64,13:29:45,,
,63,13:29:46,,
,65,13:29:52,,
,66,13:29:54,,
,56,13:30:01,,
,56,13:30:07,,
,60,13:30:09,,
,58,13:30:12,,
,65,13:30:14,,
,59,13:30:16,,
,60,13:30:19,,
,62,13:30:22,,
,58,13:30:24,,
,55,13:30:32,,
,61,13:30:34,,
,58,13:30:35,,
,63,13:30:42,,
,58,13:30:46,,
,56,13:30:48,,
,56,13:30:53,,
,60,13:30:55,,
,61,13:30:57,,
,56,13:31:00,,
,56,13:31:02,,
,60,13:31:09,,
,57,13:31:10,,
,59,13:31:11,,
,57,13:31:22,,
,55,13:31:25,,
,62,13:31:31,,
,62,13:31:33,,
,60,13:31:41,,
,61,13:31:43,,
,58,13:31:45,,
,60,13:31:48,,
,59,13:31:49,,
,60,13:31:51,,
,58,13:31:55,,
,57,13:32:04,,
,52,13:32:06,,
,56,13:32:07,,
,60,13:32:17,,
,58,13:32:19,,
,61,13:32:21,,
,59,13:32:23,,
,61,13:32:25,,
,59,13:32:27,,
,56,13:32:30,,
,55,13:32:33,,
,61,13:32:35,,
,62,13:32:38,,
,60,13:32:41,,
,58,13:32:46,,
,59,13:32:50,,
,61,13:32:54,,
,58,13:32:57,,
,65,13:32:59,,
,65,13:33:04,,
,59,13:33:07,,
,63,13:33:10,,
,63,13:33:13,,
,62,13:33:15,,
,62,13:33:22,,
,59,13:33:27,,
,58,13:33:32,,
,57,13:33:34,,
,58,13:33:38,,
,61,13:33:41,,
,62,13:33:44,,
,69,13:33:50,,
,59,13:33:53,,
,59,13:33:54,,
,63,13:33:58,,
,64,13:34:07,,
,63,13:34:08,,
,61,13:34:10,,
,66,13:34:15,,
,65,13:34:21,,
,63,13:34:25,,
,65,13:34:27,,
,63,13:34:29,,
,62,13:34:32,,
,60,13:34:35,,
,59,13:34:41,,
