detectorid,highwayid,enabledflag,locationtext,detectortype,detectorclass,detectortitle,detectorstatus,lanenumber,stationid,rampid,controllerid,end_date,start_date,milepost,agency_lane,atms_id
100825,2,1,Rosa Parks (2R014) to SB I-5,8,1,100825/2,1,2,1031,1031,1031,,2015-06-02 15:10:00-07,304.85,2,1276
100826,2,1,Rosa Parks (2R014) to SB I-5,8,1,100826/3,1,1,1031,1031,1031,,2015-06-02 15:10:00-07,304.85,3,1275
100821,2,1,Alberta (2R015) to SB I-5,8,1,100821/1,1,3,1032,1032,1032,,2015-06-02 15:10:00-07,304.08,1,1285
100822,2,1,Alberta (2R015) to SB I-5,8,1,100822/2,1,2,1032,1032,1032,,2015-06-02 15:10:00-07,304.08,2,1284
100823,2,1,Alberta (2R015) to SB I-5,8,1,100823/3,1,1,1032,1032,1032,,2015-06-02 15:10:00-07,304.08,3,1283
100819,2,1,Going (2R020) to SB I-5,8,1,100819/2,1,2,1033,1033,1033,,2015-06-02 15:10:00-07,303.9,2,1292
100820,2,1,Going (2R020) to SB I-5,8,1,100820/3,1,1,1033,1033,1033,,2015-06-02 15:10:00-07,303.9,3,1291
100818,2,1,Going (2R020) to SB I-5,8,1,100818/1,1,3,1033,1033,1033,,2015-06-02 15:10:00-07,303.9,1,1293
100816,2,1,Greeley (2R019) to SB I-5,8,1,100816/1,1,2,1034,1034,1034,,2015-06-02 15:10:00-07,303.1,1,1300
100817,2,1,Greeley (2R019) to SB I-5,8,1,100817/2,1,1,1034,1034,1034,,2015-06-02 15:10:00-07,303.1,2,1299
100812,2,1,Wheeler (2R018) to SB I-5,8,1,100812/1,1,2,1035,1035,1035,,2015-06-02 15:10:00-07,302.17,1,1167
100813,2,1,Wheeler (2R018) to SB I-5,8,1,100813/2,1,1,1035,1035,1035,,2015-06-02 15:10:00-07,302.17,2,1166
100374,2,1,Hood Ave SB,8,1,100374/1,0,3,1036,1036,1036,,2014-05-01 00:00:00-07,299.25,1,1308
100375,2,1,Hood Ave SB,8,1,100375/2,0,2,1036,1036,1036,,2014-05-01 00:00:00-07,299.25,2,1307
100376,2,1,Hood Ave SB,8,1,100376/3,0,1,1036,1036,1036,,2014-05-01 00:00:00-07,299.25,3,1306
100451,10,1,OR 217/Kruse Way (2R310) to SB I-5,8,1,100451/2,0,1,1037,1037,1037,,2014-05-01 00:00:00-07,7,2,1081
100450,10,1,OR 217/Kruse Way (2R310) to SB I-5,8,1,100450/1,0,2,1037,1037,1037,,2014-05-01 00:00:00-07,7,1,1082
100447,2,1,Carman (2R322) to SB I-5,8,1,100447/1,0,3,1038,1038,1038,,2014-09-19 00:00:00-07,291.25,1,1067
