starttime,traveltime
7/7/15 6:31,551
7/7/15 6:31,544
7/7/15 6:37,543
7/7/15 6:39,486
7/7/15 6:44,588
7/7/15 6:45,505
7/7/15 7:01,640
7/7/15 7:01,697
7/7/15 7:03,987
7/7/15 7:12,1356
7/7/15 7:14,847
7/7/15 7:14,840
7/7/15 7:16,886
7/7/15 7:19,980
7/7/15 7:20,926
7/7/15 7:21,984
7/7/15 7:23,1008
7/7/15 7:23,925
7/7/15 7:23,1001
7/7/15 7:28,1046
7/7/15 7:28,1046
7/7/15 7:42,965
7/7/15 7:48,429
7/7/15 8:05,685
7/7/15 8:09,684
7/7/15 8:11,1846
7/7/15 8:14,745
7/7/15 8:16,730
7/7/15 8:21,673
7/7/15 8:22,1105
7/7/15 8:22,1034
7/7/15 8:26,594
7/7/15 8:35,605
7/7/15 8:36,670
7/7/15 8:40,689
7/7/15 8:42,667
7/7/15 9:03,594
7/7/15 9:03,624
7/7/15 9:07,672
7/7/15 9:12,640
7/7/15 9:12,640
7/7/15 9:18,727
7/7/15 9:19,1028
7/7/15 9:21,569
7/7/15 9:21,553
7/7/15 9:23,1496
7/7/15 9:28,595
7/7/15 9:39,634
7/7/15 9:39,635
7/7/15 9:41,690
7/7/15 9:48,643
7/7/15 10:06,550
7/7/15 10:12,593
7/7/15 10:12,578
7/7/15 10:26,559
7/7/15 10:28,508
7/7/15 10:32,581
7/7/15 10:36,526
7/7/15 10:39,526
7/7/15 10:46,515
7/7/15 10:46,589
7/7/15 11:14,1678
7/7/15 11:14,1472
7/7/15 11:17,585
7/7/15 11:18,531
7/7/15 11:21,558
7/7/15 11:23,579
7/7/15 11:34,544
7/7/15 11:43,622
7/7/15 11:44,574
7/7/15 11:46,565
7/7/15 11:49,576
7/7/15 12:10,695
7/7/15 12:14,695
7/7/15 12:19,556
7/7/15 12:26,655
7/7/15 12:28,589
7/7/15 12:32,630
7/7/15 12:35,526
7/7/15 12:36,659
7/7/15 12:44,498
7/7/15 12:44,496
7/7/15 12:49,578
7/7/15 13:02,628
7/7/15 13:03,554
7/7/15 13:04,1120
7/7/15 13:10,1035
7/7/15 13:11,996
7/7/15 13:11,741
7/7/15 13:12,560
7/7/15 13:18,796
7/7/15 13:24,783
7/7/15 13:26,1016
7/7/15 13:38,514
7/7/15 13:39,474
7/7/15 13:41,565
7/7/15 13:41,567
7/7/15 14:16,543
7/7/15 14:16,544
7/7/15 14:19,561
7/7/15 14:23,1125
7/7/15 14:26,1613
7/7/15 14:30,444
7/7/15 14:30,547
7/7/15 14:35,747
7/7/15 14:41,648
7/7/15 15:02,525
7/7/15 15:39,604
7/7/15 16:04,624
7/7/15 16:27,743
7/7/15 16:32,605
7/7/15 16:36,608
7/7/15 16:38,593
7/7/15 16:41,680
7/7/15 16:44,585
7/7/15 17:06,774
7/7/15 17:07,1678
7/7/15 17:07,716
7/7/15 17:08,611
7/7/15 17:08,608
7/7/15 17:09,615
7/7/15 17:11,678
7/7/15 17:15,652
7/7/15 17:18,606
7/7/15 17:19,712
7/7/15 17:22,675
7/7/15 17:28,736
7/7/15 17:38,593
7/7/15 17:38,595
7/7/15 18:23,1842
7/7/15 18:34,528
7/7/15 18:43,463
7/7/15 18:44,525
7/7/15 19:01,1549
7/7/15 19:01,460
7/7/15 19:04,690
7/7/15 19:07,496
7/7/15 19:11,951
7/7/15 19:12,422
7/7/15 20:02,515
7/7/15 20:06,1548
7/7/15 20:06,455
7/7/15 20:18,823
7/7/15 20:24,671
7/7/15 21:11,1078
7/7/15 21:11,1067
7/7/15 21:17,483
7/7/15 21:24,565
7/7/15 22:05,556
7/7/15 22:19,557
7/7/15 22:26,401
7/7/15 22:38,404
7/7/15 23:16,659
7/8/15 0:44,403
7/8/15 1:17,453
7/8/15 4:26,364
7/8/15 4:32,827
7/8/15 4:38,363
7/8/15 5:14,398
7/8/15 5:25,437
7/8/15 5:37,390
7/8/15 5:39,365
7/8/15 6:00,399
7/8/15 6:00,912
7/8/15 6:06,476
7/8/15 6:10,455
7/8/15 6:16,423
7/8/15 6:18,430
7/8/15 6:22,720
7/8/15 6:24,498
7/8/15 6:24,863
7/8/15 6:24,786
7/8/15 6:26,473
7/8/15 6:34,607
7/8/15 6:39,579
7/8/15 6:41,669
7/8/15 6:43,678
7/8/15 7:00,641
7/8/15 7:04,619
7/8/15 7:04,752
7/8/15 7:05,715
7/8/15 7:07,781
7/8/15 7:09,734
7/8/15 7:11,873
7/8/15 7:12,830
7/8/15 7:16,1196
7/8/15 7:20,1443
7/8/15 7:23,865
7/8/15 7:30,1017
7/8/15 7:35,914
7/8/15 7:37,996
7/8/15 10:00,814
7/8/15 10:00,823
7/8/15 10:06,1721
7/8/15 10:06,723
7/8/15 10:07,703
7/8/15 10:09,703
7/8/15 10:12,624
7/8/15 10:16,1229
7/8/15 10:19,580
7/8/15 10:19,2370
7/8/15 10:20,771
7/8/15 10:24,545
7/8/15 10:26,532
7/8/15 10:30,537
7/8/15 10:34,634
7/8/15 10:34,658
7/8/15 10:35,657
7/8/15 10:35,668
7/8/15 10:38,639
7/8/15 10:41,599
7/8/15 10:41,582
7/8/15 10:42,561
7/8/15 10:50,412
7/8/15 10:53,652
7/8/15 10:59,550
7/8/15 11:07,538
7/8/15 11:08,589
7/8/15 11:27,559
7/8/15 11:45,589
7/8/15 11:50,573
7/8/15 11:57,592
7/8/15 16:04,661
7/8/15 16:05,600
7/8/15 16:10,552
7/8/15 16:14,712
7/8/15 16:16,573
7/8/15 16:20,556
7/8/15 16:20,554
7/8/15 16:26,533
7/8/15 16:40,669
7/8/15 16:44,740
7/8/15 16:45,745
7/8/15 19:54,579
7/8/15 20:13,478
7/8/15 20:20,524
7/8/15 20:30,507
7/8/15 20:40,1039
7/8/15 20:41,536
7/8/15 20:51,441
7/8/15 21:32,549
7/8/15 21:39,445
7/8/15 21:48,476
7/8/15 21:51,549
7/8/15 22:32,409
7/8/15 22:41,401
7/8/15 22:44,480
7/8/15 23:56,428
7/9/15 1:04,405
